-461	-205	12	399	656	-387
-79	-423	476	-461	112	310
248	-449	-203	-354	172	400
-153	559	271	-559	-542	-648
-459	-647	-522	307	314	336
139	-18	367	-588	481	-15
-445	501	432	458	206	-648
-168	-253	-306	130	-255	238
551	157	-371	-465	41	-622
336	349	-456	29	584	378
-460	120	145	37	-536	-151
-171	505	473	-415	313	-115
630	-587	313	519	285	217
558	587	-234	149	-98	-642
-625	643	548	-566	-334	612
-625	-50	612	217	348	278
40	-526	91	-312	350	498
-376	-649	164	82	240	-260
-531	-144	74	-427	467	-263
319	-218	170	-246	658	-437
4	41	-609	-628	-258	428
-103	-484	-397	-491	317	-314
290	-147	-565	-266	159	599
-342	472	333	-105	-150	-101
518	70	69	-267	-56	-556
-297	-78	286	-564	-159	309
217	264	572	-403	387	-189
-173	-636	370	243	363	-616
15	-587	-413	16	306	139
351	-454	613	264	-70	357
321	234	136	-134	-25	531
-255	662	149	-578	105	-424
-434	250	574	-508	211	-539
106	168	3	-303	665	171
-308	-608	-2	170	95	-70
591	-184	-496	-606	-479	531
72	-275	601	-577	-147	-440
-95	-623	-550	-455	414	-609
383	488	319	-475	247	228
367	-493	-614	444	440	-343
108	409	-388	-453	292	130
167	-280	497	-566	-245	604
105	-524	-404	273	-192	495
-62	573	-77	312	-311	315
521	453	490	121	-247	618
-570	425	-14	15	523	-557
317	-47	-328	210	604	23
209	-489	261	50	369	-329
321	-562	-14	404	168	585
391	-23	145	470	9	194
-356	128	185	-328	-515	-438
-93	657	283	628	85	-472
-228	176	-617	-468	353	-548
567	419	-402	518	538	-518
77	-51	-646	-546	-569	14
-606	224	645	-196	-447	231
315	-101	217	-475	-344	-26
562	189	301	-405	-144	-508
559	456	18	43	295	312
-114	-133	266	503	-540	-330
95	339	109	-547	2	-327
468	614	272	604	398	219
487	357	-291	322	-485	408
462	168	-211	-362	-617	-162
-180	435	-172	-368	-294	-282
-434	158	-58	-337	-412	-440
348	133	-660	-13	-516	-545
41	-305	-431	121	-71	158
394	-16	329	-250	-374	-443
-532	-330	152	-299	74	-663
-14	-40	36	-642	241	190
392	-359	39	-6	52	666
-663	435	160	-205	439	205
525	-635	460	111	-484	-263
407	-328	662	456	446	-72
173	-427	603	-643	-588	346
-69	-657	397	-349	619	637
-314	-102	-222	174	446	612
-285	419	664	-49	-647	-194
-14	-390	616	-313	-227	301
347	-432	63	-647	-188	273
636	372	-453	-399	191	521
563	-467	615	505	-514	-256
275	438	-143	260	111	17
-109	578	459	-95	-573	-127
313	-653	240	-454	212	-33
281	-52	450	-173	-150	360
-381	-235	-142	-19	-173	-651
307	-160	-542	429	-299	341
341	-101	185	-576	-121	343
71	-335	-570	-249	-313	-121
-21	274	-595	-649	-291	655
545	-408	-212	251	-196	-538
294	-357	381	-219	-617	-545
-228	411	-652	-141	533	-654
-76	-461	-604	-489	552	-578
-160	39	514	-143	561	-563
-476	542	634	-383	-434	483
473	-372	627	582	-613	203
-211	181	409	-281	426	403
-262	649	314	636	-465	359
-532	78	318	280	24	-338
403	257	41	616	-284	-645
416	-592	232	550	64	-103
346	-312	-43	90	-274	-597
532	524	-87	-308	-432	-401
82	-415	-293	-38	535	544
226	456	521	245	548	-71
185	288	-142	181	-523	-345
-597	-603	393	195	-212	-361
367	117	-499	-266	-119	312
352	-44	-342	619	-359	-2
-320	566	373	445	-558	188
-106	170	-436	236	-275	-496
222	234	-114	424	663	-224
-74	563	53	-480	-364	172
-631	197	-134	146	89	438
-453	-225	321	-626	-486	-228
-23	631	487	623	655	-273
-2	212	491	-181	-556	155
-39	-494	-536	-124	551	-282
-499	-331	-220	-340	-625	196
-632	-634	70	664	-16	37
600	369	-108	528	450	332
486	-440	64	286	656	111
-615	262	249	452	462	199
-446	75	-557	-447	-311	-607
26	-310	-43	455	-313	528
605	-6	-104	-624	663	135
-465	287	-196	-135	462	-484
11	252	144	-543	-200	-139
599	-27	361	-432	-77	-11
-293	44	-44	103	497	80
603	-177	-9	-334	2	-147
648	105	239	25	83	-401
285	214	133	51	422	347
523	-7	-645	404	477	432
-599	30	622	-114	-274	-584
-288	-109	-617	45	354	600
100	-664	53	281	-120	395
-651	222	236	-394	285	570
-409	-20	169	-85	-315	-94
37	-237	-258	-574	573	622
170	-530	540	-175	-49	-485
-288	189	619	631	-206	-642
-557	-237	280	494	-331	38
409	-301	-624	-520	-194	193
626	-174	572	95	393	507
-378	608	-463	-414	116	-55
-69	62	-508	-44	272	513
