11	23861	23669
12	6954	1683
13	27226	11260
14	24502	19834
15	9261	13382
17	10597	17325
18	23549	15366
20	20916	29619
21	24327	3348
22	7504	313
23	22744	8080
24	21713	11150
25	9454	25243
26	15786	20201
27	8418	27426
28	12230	17210
29	9140	25267
31	3495	24887
33	20427	18260
34	29226	22093
35	7124	11458
36	10717	2260
37	29399	21717
38	6588	11503
39	3955	26065
40	12454	11623
41	25986	12595
42	18283	14636
44	16926	284
45	16424	3635
46	11818	5613
47	6539	8927
48	7239	18633
49	17228	3362
50	19006	23484
51	8788	26633
52	9078	9443
53	19418	17674
54	10389	24791
55	16749	20824
56	22502	25211
57	14967	26303
58	784	15859
59	17473	6490
60	15557	489
62	26195	11915
63	10562	11851
65	18085	6352
66	15473	8291
67	28526	5490
68	4174	29048
69	6042	1034
70	23209	21246
71	23021	27705
72	25875	8711
73	9010	18753
74	12305	18324
75	20126	28132
76	23161	1791
77	13283	13790
78	13339	12535
79	6086	6416
80	1625	8066
81	23626	20506
83	3384	1336
84	15451	14268
85	15650	6767
86	12627	26726
87	26263	4889
88	22413	19266
89	27581	1163
90	5254	3122
91	1964	27483
93	22769	8373
95	8526	29728
96	1233	13480
97	29951	9564
98	17000	4286
99	19130	11522
100	18176	13407
101	13924	28784
102	21422	24330
103	14607	15154
104	2660	15200
105	4462	4985
106	8530	12691
107	9981	23355
108	3124	21365
109	29045	369
110	12561	17435
112	19211	17305
113	26591	1194
114	9519	3530
115	15924	10101
116	8901	11276
117	5555	11837
118	21661	16638
119	24354	4370
120	5018	22302
121	1537	27811
122	3959	5169
123	10699	17706
124	26023	7658
125	9670	7736
126	1876	14448
127	11792	2914
128	7730	8518
130	9286	23232
131	11381	13912
132	26024	14158
133	8489	28785
134	18994	14697
135	11332	21122
136	13548	11115
137	23590	15895
138	8193	6058
140	8849	3845
141	9853	13227
142	28753	5557
143	25056	19951
144	15874	4700
145	12786	20475
146	23630	16526
147	8307	29085
148	6689	26486
149	26192	25671
150	351	17431
151	5657	14258
152	23733	16255
153	14720	14736
155	8668	6781
156	8889	80
157	23181	19392
158	13354	4955
160	8235	8423
161	11057	26143
162	8591	20258
163	13585	24747
164	27551	2237
165	28713	28308
166	7877	751
168	25199	8289
169	17929	27856
171	12110	4801
172	25634	27299
173	7518	11412
174	17400	4564
176	7306	18114
177	10685	15106
178	5095	10083
179	28797	12676
180	13224	29674
181	6843	23620
182	25697	6996
183	22924	10005
184	13262	7097
185	8080	12956
187	11330	12278
189	1749	12549
191	18858	4930
192	26407	2015
193	4412	15106
194	21900	12586
195	25793	780
196	29270	761
197	21441	4528
198	20248	8612
200	27321	1810
201	28068	28367
202	22614	18550
203	3091	23026
205	18732	28326
207	29365	3244
208	20796	6202
209	13375	16127
210	849	29705
212	12990	6347
213	12681	20961
214	13661	8702
215	2555	7051
216	8757	8338
217	12968	17371
218	1632	27244
219	29012	21283
220	29789	29612
221	23451	24274
222	10928	7622
223	9402	10296
225	18605	17197
226	4321	8884
227	14430	18963
228	3444	13655
229	19822	21602
230	4596	11531
232	9741	15395
233	15021	17336
235	12117	16783
236	7566	10350
237	28284	9277
238	3909	12570
239	15159	13647
240	2144	4370
241	21995	26462
242	26773	587
243	1244	2360
245	28292	7586
246	28797	1961
247	28824	7360
250	3955	14047
251	12150	23752
252	8221	8280
254	29440	4694
255	13799	23354
256	19240	26459
257	24498	3748
258	1360	13374
259	886	8183
260	27080	9592
261	9292	6684
263	27138	3410
264	26001	1214
265	21686	17687
266	15567	12847
267	3591	9516
270	13626	26969
272	1929	28053
273	15647	11394
274	11583	4392
276	22259	980
277	9766	14259
278	8256	3001
279	1403	17137
280	23366	18185
281	258	786
282	17244	10854
284	8934	12827
285	7444	17598
286	14513	27696
287	20561	2114
288	7192	2932
289	23301	16442
290	1473	11078
291	14690	24601
293	8607	17232
294	11854	22328
296	4488	8936
297	25872	23929
300	4010	29989
303	23886	15493
307	2735	1963
